UserID,Date,Duration,Device,Location,Participants,CallType,InternetSpeed,FeedbackRating,Comments,ConnectionIssues,AgeGroup,SubscriptionType
57572,2022-09-12,-30,PC,"London, UK",18,Class,21.4,,,True,25-34,Pro
45387,2024-05-09,78,Phone,"São Paulo, BRA",54,Meeting,,1.0,Customer politics bank.,False,35-44,Pro
77888,2022-07-14,98,PC,"Tokyo, JPN",13,Webinar,,,Seat college bag expert partner surface.,False,18-24,Business
46882,2023-03-13,-11,Phone,"London, UK",91,Meeting,10.12,3.0,Color spend red time manager inside.,True,45-54,Business
84891,2024-07-08,-4,PC,"Sydney, AUS",46,Meeting,134.36,5.0,Reflect sense writer room notice none hospital.,True,25-34,Enterprise
33692,2023-03-30,35,Phone,"Sydney, AUS",99,Meeting,46.58,,,True,55+,Business
15641,2024-02-15,-15,Phone,"Tokyo, JPN",19,Webinar,,,Another past relate late.,False,35-44,Pro
95590,2022-06-06,66,PC,"New York, USA",20,Class,,5.0,Thing firm I must for.,False,55+,Business
33680,2021-08-16,71,Phone,"New York, USA",88,Class,,,Modern seat full stand line own community.,False,18-24,Business
33680,2021-10-05,65,Phone,"New York, USA",81,Webinar,168.49,,About understand light similar pay.,True,55+,Business
81553,2022-09-29,-27,Tablet,"London, UK",8,Meeting,175.72,,Me crime happy woman across.,True,25-34,Enterprise
37790,2021-11-18,-25,Phone,"São Paulo, BRA",55,Meeting,185.85,,Scientist report check recognize walk now little certainly.,False,45-54,Enterprise
96473,2021-10-18,32,Tablet,"New York, USA",76,Class,46.79,1.0,Ok me two compare practice almost involve.,True,25-34,Free
87613,2023-07-22,-3,PC,"São Paulo, BRA",31,Webinar,134.13,5.0,Leg consider me quality cost line.,False,25-34,Enterprise
56493,2023-12-27,53,PC,"Tokyo, JPN",46,Webinar,82.81,1.0,Clearly history health well ahead.,False,18-24,Pro
64873,2021-10-24,-13,PC,"Tokyo, JPN",24,Webinar,93.06,4.0,,True,18-24,Pro
35400,2022-01-14,-15,PC,"Tokyo, JPN",8,Meeting,,,,False,25-34,Pro
65703,2021-11-02,28,Phone,"São Paulo, BRA",8,Class,63.41,,Person school effect Congress raise agent.,True,18-24,Free
27605,2024-02-05,24,Phone,"London, UK",52,Meeting,188.38,5.0,Bring former perhaps provide some language.,False,55+,Business
70649,2024-01-29,-24,PC,"Sydney, AUS",51,Meeting,,,Main stop top operation.,True,18-24,Enterprise
56549,2023-11-07,73,Phone,"London, UK",65,Webinar,,1.0,Evidence water purpose by white everything sing.,True,45-54,Business
13319,2023-02-04,104,Phone,"São Paulo, BRA",39,Class,21.61,3.0,Majority performance adult.,True,35-44,Business
49295,2022-09-27,-8,PC,"Sydney, AUS",65,Webinar,50.97,,Reason affect her down watch.,True,18-24,Business
