UserID,Date,Duration,Device,Location,Participants,CallType,InternetSpeed,FeedbackRating,Comments,ConnectionIssues,AgeGroup,SubscriptionType
57572,2022-04-01,-30,PC,"London, UK",18,Class,21.4,,,True,25-34,Pro
45387,2021-11-14,78,Phone,"São Paulo, BRA",54,Meeting,,1.0,Exactly live mention career their moment almost.,False,35-44,Pro
77888,2023-07-06,98,PC,"Tokyo, JPN",13,Webinar,,,Support economic hour dream enough save.,False,18-24,Business
46882,2023-03-03,-11,Phone,"London, UK",91,Meeting,10.12,3.0,Practice during mean.,True,45-54,Business
84891,2022-07-30,-4,PC,"Sydney, AUS",46,Meeting,134.36,5.0,Wind fact recognize get general Congress.,True,25-34,Enterprise
33692,2022-05-03,35,Phone,"Sydney, AUS",99,Meeting,46.58,,,True,55+,Business
15641,2023-04-07,-15,Phone,"Tokyo, JPN",19,Webinar,,,Reason fight old character.,False,35-44,Pro
95590,2024-01-21,66,PC,"New York, USA",20,Class,,5.0,Weight dream foreign argue ready hair.,False,55+,Business
33680,2021-10-21,71,Phone,"New York, USA",88,Class,,,Fill list life sing success.,False,18-24,Business
33680,2024-06-20,65,Phone,"New York, USA",81,Webinar,168.49,,Campaign according same character front use.,True,55+,Business
81553,2023-10-11,-27,Tablet,"London, UK",8,Meeting,175.72,,Agree indeed nearly certainly give.,True,25-34,Enterprise
37790,2022-07-11,-25,Phone,"São Paulo, BRA",55,Meeting,185.85,,Someone behavior other under read apply interesting.,False,45-54,Enterprise
96473,2021-12-11,32,Tablet,"New York, USA",76,Class,46.79,1.0,Arrive physical do movement impact.,True,25-34,Free
87613,2023-05-06,-3,PC,"São Paulo, BRA",31,Webinar,134.13,5.0,When deep peace chance.,False,25-34,Enterprise
56493,2022-10-01,53,PC,"Tokyo, JPN",46,Webinar,82.81,1.0,Color his federal pretty woman material.,False,18-24,Pro
64873,2023-03-31,-13,PC,"Tokyo, JPN",24,Webinar,93.06,4.0,,True,18-24,Pro
35400,2024-06-15,-15,PC,"Tokyo, JPN",8,Meeting,,,,False,25-34,Pro
65703,2024-04-12,28,Phone,"São Paulo, BRA",8,Class,63.41,,Table drop likely lot what human.,True,18-24,Free
27605,2024-06-02,24,Phone,"London, UK",52,Meeting,188.38,5.0,Himself step realize various third.,False,55+,Business
70649,2023-08-08,-24,PC,"Sydney, AUS",51,Meeting,,,Century idea lawyer yourself check maybe.,True,18-24,Enterprise
56549,2022-07-09,73,Phone,"London, UK",65,Webinar,,1.0,Difficult develop effect require sing.,True,45-54,Business
13319,2022-05-17,104,Phone,"São Paulo, BRA",39,Class,21.61,3.0,Resource speak thus will involve service.,True,35-44,Business
49295,2021-11-19,-8,PC,"Sydney, AUS",65,Webinar,50.97,,Various finally society another lose still before.,True,18-24,Business
